Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returned
96.0,US-2020-109484,2020-11-06,2020-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682000000000001,1.0,-3.788,
97.0,CA-2020-161018,2020-11-09,2020-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.0,40.5426,
98.0,CA-2020-157833,2020-06-17,2020-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3.0,17.9592,
99.0,CA-2019-149223,2019-09-06,2019-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.0,22.585199999999993,
100.0,CA-2019-158568,2019-08-29,2019-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7.0,22.61839999999999,
101.0,CA-2019-158568,2019-08-29,2019-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3.0,-10.79730000000001,
102.0,CA-2019-158568,2019-08-29,2019-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.7879999999999996,3.0,-3.0396,
103.0,CA-2019-129903,2019-12-01,2019-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.0,11.7208,
107.0,CA-2020-119004,2020-11-23,2020-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11200000000001,8.0,17.6016,
108.0,CA-2020-119004,2020-11-23,2020-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992000000000004,1.0,2.0993999999999993,
109.0,CA-2020-119004,2020-11-23,2020-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.3040000000000003,1.0,1.0738,
111.0,CA-2020-146780,2020-12-25,2020-12-30,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2.0,10.9096,
112.0,CA-2019-128867,2019-11-03,2019-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.0,22.78799999999999,
113.0,CA-2019-128867,2019-11-03,2019-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6.0,13.3476,
120.0,CA-2019-103730,2019-06-12,2019-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3.0,18.345599999999997,
121.0,CA-2019-103730,2019-06-12,2019-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4.0,13.878,
122.0,CA-2019-103730,2019-06-12,2019-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6.0,63.436800000000005,
123.0,CA-2019-103730,2019-06-12,2019-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9.0,51.75899999999999,
124.0,CA-2019-103730,2019-06-12,2019-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7.0,19.731599999999997,
127.0,US-2020-107272,2020-11-05,2020-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.3880000000000003,2.0,-1.8308,
128.0,US-2020-107272,2020-11-05,2020-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7.0,30.49899999999998,
129.0,US-2019-125969,2019-11-06,2019-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2.0,-9.160199999999996,
130.0,US-2019-125969,2019-11-06,2019-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3.0,26.241599999999977,
131.0,US-2020-164147,2020-02-02,2020-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.96999999999999,5.0,-11.993999999999993,
132.0,US-2020-164147,2020-02-02,2020-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2.0,29.363999999999997,
133.0,US-2020-164147,2020-02-02,2020-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9.0,6.973199999999998,
134.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3.0,9.6192,
135.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1.0,16.656799999999997,
136.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4.0,3.4559999999999995,
137.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2.0,1.9698,
138.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3.0,26.661599999999996,
139.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6.0,18.446400000000004,
140.0,CA-2019-145583,2019-10-13,2019-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.120000000000005,14.0,20.6976,
141.0,CA-2019-110366,2019-09-05,2019-09-07,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80000000000001,2.0,10.349999999999994,
142.0,CA-2020-106180,2020-09-18,2020-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3.0,2.3814,
143.0,CA-2020-106180,2020-09-18,2020-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3.0,5.1042000000000005,
144.0,CA-2020-106180,2020-09-18,2020-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3.0,68.976,
145.0,CA-2020-155376,2020-12-22,2020-12-27,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.4300000000001,3.0,218.25179999999995,
148.0,CA-2019-114489,2019-12-05,2019-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.4500000000001,11.0,103.80150000000005,
149.0,CA-2019-114489,2019-12-05,2019-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3.0,5.9987999999999815,
150.0,CA-2019-114489,2019-12-05,2019-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8.0,585.5519999999999,
151.0,CA-2019-114489,2019-12-05,2019-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5.0,80.6285,
152.0,CA-2019-158834,2019-03-13,2019-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.0,17.76599999999999,
153.0,CA-2019-158834,2019-03-13,2019-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2.0,15.23879999999999,
159.0,CA-2019-114104,2019-11-20,2019-11-24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2.0,6.8713999999999995,
160.0,CA-2019-114104,2019-11-20,2019-11-24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7.0,236.2325,
161.0,CA-2019-162733,2019-05-11,2019-05-12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1.0,2.691,
163.0,CA-2019-154508,2019-11-16,2019-11-20,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5.0,13.347999999999995,
164.0,CA-2019-113817,2019-11-07,2019-11-11,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.680000000000003,2.0,9.688,
177.0,US-2020-152366,2020-04-21,2020-04-25,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.26399999999998,4.0,-243.16000000000008,
186.0,CA-2019-105018,2019-11-28,2019-12-02,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2.0,3.4368,
188.0,CA-2019-157000,2019-07-16,2019-07-22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3.0,3.7224,
189.0,CA-2019-157000,2019-07-16,2019-07-22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3.0,6.254999999999996,
198.0,CA-2020-107720,2020-11-06,2020-11-13,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3.0,12.0276,
199.0,US-2020-124303,2020-07-06,2020-07-13,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.9460000000000006,2.0,-2.2585999999999995,
200.0,US-2020-124303,2020-07-06,2020-07-13,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3.0,5.8203000000000005,
201.0,CA-2020-105074,2020-06-24,2020-06-29,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744000000000003,3.0,6.794999999999999,
204.0,US-2020-116701,2020-12-17,2020-12-21,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28399999999999,2.0,-178.9668,
205.0,CA-2020-126382,2020-06-03,2020-06-07,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168000000000006,7.0,9.671200000000002,
206.0,CA-2020-108329,2020-12-09,2020-12-14,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4.0,44.476800000000026,
207.0,CA-2020-135860,2020-12-01,2020-12-07,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4.0,5.874399999999994,
208.0,CA-2020-135860,2020-12-01,2020-12-07,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2.0,35.634600000000006,
209.0,CA-2020-135860,2020-12-01,2020-12-07,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4.0,7.4824,
